XM_028848769.1	PGBD2	PGBD2
XR_003726072.1	LOC114674980	LOC114674980
unassigned_transcript_1	TRNAE-CUC	TRNAE-CUC
XM_028843968.1	ZNF692	ZNF692
XM_028843965.1	ZNF692	ZNF692
XM_028843962.1	ZNF692	ZNF692
NM_001261269.1	ZNF692	ZNF692
XM_028843958.1	ZNF692	ZNF692
unassigned_transcript_2	TRNAL-CAA	TRNAL-CAA
XM_028848779.1	LOC114678402	LOC114678402
XM_015128418.2	ZNF672	ZNF672
XM_028848772.1	ZNF672	ZNF672
XM_028848774.1	ZNF672	ZNF672
XM_015128407.2	LOC106995359	LOC106995359
XM_015128312.2	SH3BP5L	SH3BP5L
NM_001261606.1	SH3BP5L	SH3BP5L
XM_001107864.4	LYPD8	LYPD8
XR_001442128.2	LOC106995355	LOC106995355
XM_015128357.2	LOC100427314	LOC100427314
XM_015128365.2	LOC100427314	LOC100427314
XR_003729807.1	LOC114678408	LOC114678408
XM_015128378.2	LOC106995352	LOC106995352
XM_028848754.1	LOC713246	LOC713246
XM_028848800.1	LOC114678409	LOC114678409
XM_028848809.1	LOC106995347	LOC106995347
XM_015129426.2	LOC706213	LOC706213
XM_015129554.2	LOC100431025	LOC100431025
XM_015129037.2	LOC707109	LOC707109
XM_015128348.2	LOC694380	LOC694380
XM_001083190.4	LOC694505	LOC694505
XM_028848760.1	LOC694771	LOC694771
XM_002802077.3	LOC100428329	LOC100428329
XM_001081969.3	LOC694153	LOC694153
XM_001083659.4	LOC695014	LOC695014
XM_028848843.1	LOC707004	LOC707004
XM_001118207.4	LOC722007	LOC722007
XM_028847625.1	LOC114677618	LOC114677618
XM_028848845.1	LOC100428761	LOC100428761
XM_028847629.1	LOC696462	LOC696462
XM_001085314.3	LOC696703	LOC696703
XM_015127907.2	LOC705867	LOC705867
XM_001094325.4	LOC705993	LOC705993
XM_015127895.2	LOC100424541	LOC100424541
XR_003729873.1	LOC114678440	LOC114678440
XM_015127888.2	LOC706331	LOC706331
XM_015128200.2	LOC706439	LOC706439
XR_003729868.1	LOC114678437	LOC114678437
XM_015128221.2	LOC697422	LOC697422
XM_015128257.2	LOC106995331	LOC106995331
XM_015128241.2	LOC697549	LOC697549
XM_015128227.2	LOC100428218	LOC100428218
XM_001095076.4	LOC706808	LOC706808
XM_028848889.1	LOC697921	LOC697921
XM_001119130.4	LOC723064	LOC723064
XM_002802089.3	LOC100427785	LOC100427785
XM_015127880.2	LOC707174	LOC707174
XM_002806059.3	LOC100427704	LOC100427704
XM_001086003.4	LOC699060	LOC699060
XM_001086222.4	TRIM58	TRIM58
XM_028848904.1	TRIM58	TRIM58
XM_028848905.1	TRIM58	TRIM58
XR_003729888.1	LOC114678448	LOC114678448
XR_003728999.1	LOC114677625	LOC114677625
XM_015127851.2	LOC707803	LOC707803
XR_003729895.1	LOC707938	LOC707938
XR_001442091.2	LOC707938	LOC707938
XM_015128127.2	LOC707938	LOC707938
XM_001086348.4	LOC699564	LOC699564
XM_001096487.4	LOC708042	LOC708042
XM_028848985.1	LOC708144	LOC708144
XM_001086459.4	LOC699926	LOC699926
XM_015128170.2	LOC100425929	LOC100425929
