XM_063281056.1	LOC134485287	LOC134485287
XM_063280774.1	LOC134484926	LOC134484926
XR_005497081.2	LOC108352169	LOC108352169
XR_005497079.2	LOC108352169	LOC108352169
XR_005497078.2	LOC108352169	LOC108352169
XM_039090201.2	Vom2r1	Vom2r1
XM_063273158.1	Vom2r1	Vom2r1
NM_001099461.2	Vom2r1	Vom2r1
XR_010062735.1	LOC100910337	LOC100910337
XR_005497150.2	LOC100910337	LOC100910337
XR_010062736.1	LOC100910337	LOC100910337
XR_010062734.1	LOC100910337	LOC100910337
XM_063280730.1	LOC134484837	LOC134484837
XM_063280729.1	LOC134484837	LOC134484837
XM_063280728.1	LOC134484837	LOC134484837
XM_063280732.1	LOC134484837	LOC134484837
XM_063280731.1	LOC134484837	LOC134484837
NM_001099654.1	Vom2r65	Vom2r65
XM_063281057.1	LOC134485288	LOC134485288
XR_010062648.1	LOC134484838	LOC134484838
XM_063280733.1	LOC134484840	LOC134484840
XM_063280734.1	LOC134484840	LOC134484840
XM_063280735.1	LOC134484840	LOC134484840
XM_063280736.1	LOC134484840	LOC134484840
XM_063280737.1	LOC134484840	LOC134484840
XM_063280780.1	Zfp950l14	Zfp950l14
XM_039098348.2	Zfp950l14	Zfp950l14
XM_063282912.1	Vom2r2	Vom2r2
XM_063282910.1	Vom2r2	Vom2r2
XM_063282913.1	Vom2r2	Vom2r2
XM_063282914.1	Vom2r2	Vom2r2
NM_001099457.2	Vom2r2	Vom2r2
XR_010062737.1	Znf431l	Znf431l
XM_063280779.1	Znf431l	Znf431l
XR_010062649.1	LOC134484842	LOC134484842
XM_063280781.1	LOC134484930	LOC134484930
XM_039098330.2	LOC103690914	LOC103690914
XM_063281058.1	LOC134485289	LOC134485289
XM_063280776.1	LOC134484927	LOC134484927
XM_063280775.1	LOC134484927	LOC134484927
XM_063280777.1	LOC134484928	LOC134484928
XM_063280778.1	Zfp1007l2	Zfp1007l2
XM_039098347.1	Zfp1007l2	Zfp1007l2
XM_063280738.1	Zfp748-ps3	Zfp748-ps3
XM_063280744.1	LOC134484845	LOC134484845
XM_063280740.1	LOC134484845	LOC134484845
XM_063280741.1	LOC134484845	LOC134484845
XM_063280739.1	LOC134484845	LOC134484845
XM_063280745.1	LOC134484845	LOC134484845
XM_063280742.1	LOC134484845	LOC134484845
XM_063280743.1	LOC134484845	LOC134484845
XR_010062650.1	LOC134484846	LOC134484846
XM_039098315.2	Zfp950l8	Zfp950l8
XM_063280782.1	Zfp160l	Zfp160l
XM_063280783.1	Zfp160l	Zfp160l
XM_063280788.1	LOC134484934	LOC134484934
XM_063280784.1	LOC134484931	LOC134484931
XM_063280785.1	Znf729l-ps2	Znf729l-ps2
XR_010062738.1	LOC134484936	LOC134484936
XM_063280786.1	LOC134484932	LOC134484932
XM_039098264.2	LOC103690913	LOC103690913
XM_063281059.1	LOC134485293	LOC134485293
XM_063280790.1	LOC134484937	LOC134484937
XM_063280791.1	LOC134484937	LOC134484937
XM_063280789.1	LOC134484937	LOC134484937
XR_010062651.1	LOC134484848	LOC134484848
XM_063280747.1	LOC134484849	LOC134484849
XM_063280746.1	LOC134484849	LOC134484849
XM_063276056.1	LOC134482571	LOC134482571
NM_001099460.3	Vom2r3	Vom2r3
XM_063271816.1	Vom2r3	Vom2r3
XR_010062741.1	Znf431l11	Znf431l11
XR_010062743.1	Znf431l11	Znf431l11
XR_010062742.1	Znf431l11	Znf431l11
XR_010062740.1	Znf431l11	Znf431l11
XR_010062739.1	Znf431l11	Znf431l11
XR_010062652.1	LOC134484850	LOC134484850
NM_001099458.1	Vom2r4	Vom2r4
XM_017589699.2	Vom2r5	Vom2r5
NM_001099462.1	Vom2r5	Vom2r5
XM_017589697.2	Vom2r5	Vom2r5
XM_017589698.2	Vom2r5	Vom2r5
XM_039090209.1	Vom2r5	Vom2r5
XM_063273254.1	Vom2r5	Vom2r5
XM_039090210.1	Vom2r5	Vom2r5
XM_039090211.1	Vom2r5	Vom2r5
NM_001099459.3	Vom2r6	Vom2r6
XM_039101476.2	LOC120100082	LOC120100082
XR_005500148.1	LOC120100385	LOC120100385
XR_010058811.1	LOC134482572	LOC134482572
XR_010058812.1	LOC134482572	LOC134482572
XM_039098381.2	H60al	H60al
XM_039098387.2	H60al	H60al
XM_039090213.2	Raet1ll1	Raet1ll1
NM_001161691.1	Raet1ll1	Raet1ll1
XR_005500147.1	LOC120100384	LOC120100384
XR_005497164.2	LOC120098765	LOC120098765
XM_039098365.2	LOC120098765	LOC120098765
XM_039098357.2	LOC108348301	LOC108348301
XM_039098359.2	LOC108348301	LOC108348301
XM_039098390.2	LOC120098766	LOC120098766
XM_039095439.2	LOC120097698	LOC120097698
XM_006227600.4	Raet1e	Raet1e
XR_005497168.2	Ulbp1	Ulbp1
XM_039098404.2	Ulbp1	Ulbp1
XM_039101477.1	H60bl2	H60bl2
XM_017589819.3	Raet1c	Raet1c
XM_039098412.2	LOC120093164	LOC120093164
XR_005500145.1	LOC120100382	LOC120100382
XR_005497169.2	LOC120098768	LOC120098768
XM_006227608.4	H60bl1	H60bl1
XM_039098419.2	LOC120098769	LOC120098769
XM_039098422.2	LOC120098769	LOC120098769
NM_001013063.2	Raet1l	Raet1l
XM_063276134.1	Raet1d	Raet1d
XM_039098429.2	Raet1ll2	Raet1ll2
XM_008758635.4	Raet1ll2	Raet1ll2
XM_063282919.1	Lrp11	Lrp11
XM_039103574.2	Lrp11	Lrp11
XM_039103584.2	Lrp11	Lrp11
XM_039103592.2	Lrp11	Lrp11
XM_063282917.1	Lrp11	Lrp11
XM_063282916.1	Lrp11	Lrp11
NM_001106217.2	Lrp11	Lrp11
XM_063276128.1	LOC120098770	LOC120098770
XM_039102058.2	Pcmt1	Pcmt1
NM_001398562.1	Pcmt1	Pcmt1
NM_001398561.1	Pcmt1	Pcmt1
NM_013073.4	Pcmt1	Pcmt1
XM_063282051.1	Pcmt1	Pcmt1
XM_039102037.2	Pcmt1	Pcmt1
XM_063282056.1	Pcmt1	Pcmt1
XM_063282061.1	Pcmt1	Pcmt1
XM_039090803.2	Nup43	Nup43
NM_001128191.2	Nup43	Nup43
NM_001401290.1	Nup43	Nup43
NM_001134543.2	Lats1	Lats1
XM_039110894.1	Lats1	Lats1
XM_063288618.1	Lats1	Lats1
XM_063288621.1	Lats1	Lats1
XM_039110891.2	Lats1	Lats1
NM_001004217.4	Katna1	Katna1
XM_341726.9	Ginm1	Ginm1
NM_001400838.1	Ginm1	Ginm1
XM_039098446.2	Ginm1	Ginm1
XM_063265953.1	Ginm1	Ginm1
XM_063265954.1	Ginm1	Ginm1
XM_006227627.5	Ginm1	Ginm1
XM_039098461.2	LOC120098771	LOC120098771
XM_039081052.2	Ppil4	Ppil4
NM_001395054.1	Ppil4	Ppil4
XM_006227616.5	Zc3h12d	Zc3h12d
NM_001107469.1	Zc3h12d	Zc3h12d
NM_001393814.1	Tab2	Tab2
XM_063288633.1	Tab2	Tab2
XM_039110915.2	Tab2	Tab2
XM_039110917.2	Tab2	Tab2
XM_039110921.2	Tab2	Tab2
XM_039110919.2	Tab2	Tab2
XM_063288630.1	Tab2	Tab2
XM_063265960.1	Ust	Ust
XM_039081060.2	Ust	Ust
NM_001108458.1	Ust	Ust
XM_039081058.2	Ust	Ust
XR_010058820.1	LOC108348767	LOC108348767
XR_010058822.1	LOC108348767	LOC108348767
XR_005497178.2	LOC108348767	LOC108348767
XR_010058824.1	LOC134482574	LOC134482574
XR_005499973.1	Rnu6-884	Rnu6-884
XR_010062744.1	LOC134484939	LOC134484939
XM_039101481.2	Sash1	Sash1
XM_039101480.2	Sash1	Sash1
XM_039101479.2	Sash1	Sash1
NM_001427579.1	Sash1	Sash1
XM_039101484.2	Sash1	Sash1
XM_039101486.2	Sash1	Sash1
XM_039101483.2	Sash1	Sash1
XM_039101485.2	Sash1	Sash1
XR_005500124.1	LOC120100357	LOC120100357
XR_010058825.1	LOC134482575	LOC134482575
NM_001108901.1	Samd5	Samd5
XR_005497180.2	LOC120098775	LOC120098775
XM_039095459.2	Rpl27al2	Rpl27al2
XR_005492948.2	Stxbp5	Stxbp5
XR_005492935.2	Stxbp5	Stxbp5
NM_178346.2	Stxbp5	Stxbp5
NM_030843.3	Stxbp5	Stxbp5
XM_039091853.2	Stxbp5	Stxbp5
NM_178345.2	Stxbp5	Stxbp5
XM_063275001.1	Stxbp5	Stxbp5
XM_063274990.1	Stxbp5	Stxbp5
XM_063274968.1	Stxbp5	Stxbp5
XM_063274970.1	Stxbp5	Stxbp5
XM_039091879.2	Stxbp5	Stxbp5
XM_039091859.2	Stxbp5	Stxbp5
XM_039091874.2	Stxbp5	Stxbp5
XM_039091862.2	Stxbp5	Stxbp5
XM_039091865.2	Stxbp5	Stxbp5
XM_039091888.2	Stxbp5	Stxbp5
XR_010062745.1	LOC120098776	LOC120098776
XR_005497181.2	LOC120098776	LOC120098776
XR_005500123.1	LOC120100355	LOC120100355
XR_010062746.1	LOC134484941	LOC134484941
XM_063280793.1	Adgb	Adgb
XM_063280794.1	Adgb	Adgb
XM_039098478.2	Adgb	Adgb
XM_063280795.1	Adgb	Adgb
XM_039098485.2	Adgb	Adgb
XM_039098487.2	Adgb	Adgb
XM_039098475.2	Adgb	Adgb
XM_039098489.2	Adgb	Adgb
XM_039098492.2	Adgb	Adgb
XM_063280796.1	Adgb	Adgb
XM_039098496.2	Adgb	Adgb
NM_001108902.1	Rab32	Rab32
XR_005500193.1	LOC120100440	LOC120100440
XM_017588777.3	Grm1	Grm1
NM_017011.2	Grm1	Grm1
NM_001114330.2	Grm1	Grm1
XM_063280712.1	Grm1	Grm1
NM_001408768.1	Dctn3l1	Dctn3l1
XM_006227639.4	Shprh	Shprh
